ticker,event_date,close,52w_low_level,pct_below_52w_low
WFC,2020-10-27,19.263174057006836,19.80845832824707,-2.7527850083247207
FDX,2021-09-22,208.89105224609375,212.91131591796875,-1.8882339130457226
VZ,2021-10-11,39.73512649536133,39.86967086791992,-0.3374604546004689
T,2021-11-09,14.499289512634277,14.55210018157959,-0.3629075410857996
BMY,2021-11-29,45.85907745361328,47.41178512573242,-3.2749403297122837
MDT,2021-11-30,93.25944519042969,95.25773620605469,-2.0977729423492075
DIS,2021-11-30,141.56619262695312,144.4092559814453,-1.9687542430503746
BA,2021-12-01,188.19000244140625,194.02999877929688,-3.0098419701241386
CMCSA,2021-12-13,39.12806701660156,39.186744689941406,-0.14973857564367643
DIS,2022-01-21,134.21922302246094,138.87945556640625,-3.355595343414197
AMZN,2022-01-21,142.64300537109375,147.59750366210938,-3.3567629316806125
MMM,2022-01-26,120.92961883544922,120.94770812988281,-0.014956293685342015
HON,2022-02-03,165.16317749023438,169.8834991455078,-2.778563944712731
META,2022-02-03,235.90869140625,252.70689392089844,-6.647306788514662
SBUX,2022-02-04,85.7336196899414,86.02239990234375,-0.3357035059823765
CMCSA,2022-02-14,39.066314697265625,39.12806701660156,-0.15782103243111578
CRM,2022-02-17,197.6287384033203,202.8651123046875,-2.581209672712259
INTC,2022-02-18,42.09130096435547,44.109622955322266,-4.57569540553796
CAT,2022-02-23,173.72030639648438,174.0229034423828,-0.17388346011513178
FDX,2022-02-23,196.50698852539062,198.6690216064453,-1.0882587851756664
JPM,2022-02-28,127.855224609375,130.3347930908203,-1.902460902912928
C,2022-03-03,49.80081558227539,49.97761154174805,-0.35375031742957974
BA,2022-03-04,180.83999633789062,188.19000244140625,-3.905630484172018
GE,2022-03-04,54.380313873291016,54.49012756347656,-0.20152951570470146
NKE,2022-03-07,116.2484359741211,117.82721710205078,-1.3399120905675743
ADBE,2022-03-11,416.3800048828125,429.45001220703125,-3.0434292589839096
GS,2022-04-06,285.9486999511719,290.56890869140625,-1.590056128524464
USB,2022-04-11,43.397804260253906,43.82082748413086,-0.9653474116392391
CRM,2022-04-14,187.13624572753906,188.252685546875,-0.5930538606090385
TFC,2022-04-22,41.435523986816406,41.520450592041016,-0.2045416271105882
PNC,2022-04-22,149.41629028320312,149.5174560546875,-0.06766151200925385
GE,2022-04-26,49.20851135253906,52.133304595947266,-5.610220311327763
DD,2022-04-26,25.56154441833496,25.802793502807617,-0.934972736368278
FDX,2022-04-26,183.5553436279297,184.55572509765625,-0.5420484621635135
BA,2022-04-26,167.0399932861328,169.1699981689453,-1.259091390830025
CSCO,2022-04-27,44.119361877441406,44.190696716308594,-0.1614250151454666
BAC,2022-04-27,32.71963882446289,32.84401321411133,-0.3786820716385586
VZ,2022-04-27,37.80171203613281,37.89990997314453,-0.25909807458989187
AMZN,2022-04-29,124.28150177001953,136.01449584960938,-8.62628207846534
INTC,2022-04-29,40.736228942871094,41.49319839477539,-1.8243217712510917
NKE,2022-05-06,106.95341491699219,109.8306655883789,-2.619715227958297
HD,2022-05-06,265.8331298828125,269.2026672363281,-1.2516730937727205
ORCL,2022-05-09,68.0945816040039,68.71099853515625,-0.897115373511781
NOW,2022-05-09,85.17400360107422,90.87999725341797,-6.2786023600249985
MS,2022-05-10,70.75912475585938,71.05006408691406,-0.4094849664016964
WMT,2022-05-17,41.784088134765625,42.16066360473633,-0.8931915149656189
GOOGL,2022-05-18,110.98223114013672,111.5887222290039,-0.5435057206072624
TGT,2022-05-18,142.3542938232422,166.5869140625,-14.54653288683061
UPS,2022-05-18,143.39901733398438,145.50746154785156,-1.4490282432518486
MDT,2022-06-01,86.52092742919922,86.99262237548828,-0.542224079937581
WFC,2022-06-10,36.389991760253906,37.225242614746094,-2.2437754486556827
TXN,2022-06-10,141.06881713867188,144.28106689453125,-2.226383422994449
MMM,2022-06-10,100.27595520019531,101.6598892211914,-1.361337329401302
NVDA,2022-06-13,15.621867179870605,16.124645233154297,-3.1180720320588273
AXP,2022-06-13,139.5645751953125,142.3986358642578,-1.9902302095413993
MSFT,2022-06-13,234.90225219726562,244.88941955566406,-4.07823554668858
META,2022-06-13,162.98097229003906,173.58778381347656,-6.110344455364858
ABT,2022-06-14,95.73780059814453,98.43488311767578,-2.739966192987675
LOW,2022-06-14,165.0911407470703,167.2585906982422,-1.2958676395177005
QCOM,2022-06-16,110.81681823730469,111.29316711425781,-0.42801268874314014
AMD,2022-06-16,82.05000305175781,82.58999633789062,-0.6538240829114472
CAT,2022-06-23,167.07272338867188,170.14669799804688,-1.806661337271609
HON,2022-06-23,151.9766845703125,154.1546173095703,-1.4128235516190357
FCX,2022-06-23,27.96422576904297,28.579307556152344,-2.1521927565979926
TFC,2022-07-14,37.18358612060547,37.578468322753906,-1.0508203760644874
VZ,2022-07-22,35.109901428222656,36.062171936035156,-2.6406354822487654
GOOGL,2022-07-26,104.15911102294922,104.93769073486328,-0.7419447735716123
MMM,2022-08-29,93.0549087524414,93.4719009399414,-0.4461150177826445
NVDA,2022-09-01,13.914612770080566,14.49967098236084,-4.034975779740169
CRM,2022-09-01,151.68695068359375,153.7321319580078,-1.3303538098155765
MDT,2022-09-06,76.85990905761719,77.3361587524414,-0.6158176233561408
GOOGL,2022-09-13,103.46487426757812,104.15911102294922,-0.6665156303207409
META,2022-09-13,151.93768310546875,154.63650512695312,-1.7452683758396481
ADBE,2022-09-15,309.1300048828125,360.7900085449219,-14.31857935048032
FDX,2022-09-16,149.34390258789062,180.81118774414062,-17.40339497176371
NOW,2022-09-20,82.23999786376953,82.44999694824219,-0.2546987170957471
USB,2022-09-21,37.22648239135742,37.49765396118164,-0.7231694284259516
MSFT,2022-09-21,232.18458557128906,234.90225219726562,-1.156935108350654
DD,2022-09-21,20.748184204101562,20.76496696472168,-0.08082247686033162
NKE,2022-09-21,93.72047424316406,94.75377655029297,-1.0905130589496381
ABT,2022-09-21,94.02409362792969,94.92866516113281,-0.9528960843046663
AMD,2022-09-22,69.5,73.66999816894531,-5.66037501369604
CSCO,2022-09-22,37.14970779418945,37.32832336425781,-0.4784987751134451
TFC,2022-09-23,36.852603912353516,37.18358612060547,-0.8901298739137475
CAT,2022-09-23,154.64901733398438,158.9093475341797,-2.680981494357315
UPS,2022-09-23,137.84640502929688,139.3692169189453,-1.0926457960469649
HD,2022-09-26,243.8878936767578,244.4884033203125,-0.24561886592548987
T,2022-09-26,12.852849960327148,13.008872985839844,-1.1993585123209805
PNC,2022-09-26,129.49038696289062,130.64112854003906,-0.8808417303251881
ORCL,2022-09-26,60.664302825927734,60.96531295776367,-0.49373999284556547
JPM,2022-09-26,97.85991668701172,98.96871948242188,-1.1203568169911415
C,2022-09-26,37.9090576171875,38.54307174682617,-1.6449496651518958
QCOM,2022-09-28,109.69538116455078,110.14725494384766,-0.41024515729169986
AVGO,2022-09-29,42.68138122558594,43.808006286621094,-2.5717332436085427
HON,2022-09-30,146.08615112304688,147.57154846191406,-1.006560786512678
AXP,2022-09-30,129.18943786621094,130.6928253173828,-1.1503213336470086
BAC,2022-10-11,27.20355224609375,27.35230255126953,-0.5438310171400063
AMZN,2022-11-01,96.79000091552734,102.30999755859375,-5.3953638694058785
DIS,2022-11-09,84.75408935546875,89.72698211669922,-5.542248991237342
AAPL,2022-12-28,124.05072021484375,127.61800384521484,-2.795282423236911
PFE,2023-02-27,34.02703094482422,34.22615051269531,-0.5817761123829479
JNJ,2023-02-28,140.1603240966797,142.32772827148438,-1.5228263677970366
PNC,2023-03-09,122.30244445800781,127.20943450927734,-3.857410474465761
MMM,2023-03-10,78.50672912597656,79.13052368164062,-0.7883109154865786
TFC,2023-03-10,33.011592864990234,33.594547271728516,-1.7352649583965873
BMY,2023-03-10,57.31281661987305,57.32638168334961,-0.023662863551188185
BAC,2023-03-13,26.37444305419922,27.20355224609375,-3.047797524360396
USB,2023-03-13,31.67796516418457,33.2562141418457,-4.74572653077564
WFC,2023-03-23,33.898651123046875,33.98396682739258,-0.2510469268612092
PFE,2023-04-25,32.817142486572266,32.86720275878906,-0.1523107171127025
MMM,2023-05-09,76.04724884033203,76.1981430053711,-0.19802866459412982
BMY,2023-05-25,56.77326202392578,57.31281661987305,-0.9414204845765273
TGT,2023-05-30,120.9380874633789,122.7025146484375,-1.4379714956241574
UNH,2023-07-12,427.57049560546875,433.5149230957031,-1.3712163465528726
T,2023-07-17,11.827462196350098,12.212952613830566,-3.156406396303546
VZ,2023-07-17,26.557273864746094,28.392608642578125,-6.464128748915754
TGT,2023-08-15,113.96405029296875,114.28756713867188,-0.28307265068525655
DIS,2023-08-24,80.57256317138672,82.23344421386719,-2.01971479895815
RTX,2023-09-11,72.97850799560547,75.01535034179688,-2.7152340646425355
UPS,2023-09-26,132.17800903320312,133.49282836914062,-0.9849363085646101
MMM,2023-10-02,70.13335418701172,71.4665756225586,-1.865517444949527
BAC,2023-10-03,24.361804962158203,24.949796676635742,-2.356699423639652
KO,2023-10-05,48.646522521972656,49.01066970825195,-0.7429957363304207
ABT,2023-10-11,88.20089721679688,89.22108459472656,-1.1434375434503319
MDT,2023-10-11,67.76026916503906,68.42375946044922,-0.969678223824677
PEP,2023-10-12,144.88002014160156,145.05474853515625,-0.12045685875105017
VZ,2023-10-13,26.443016052246094,26.557273864746094,-0.43023170631859564
MS,2023-10-19,67.24378204345703,68.17269134521484,-1.3625827049338235
C,2023-10-20,36.5554084777832,36.675174713134766,-0.3265594132498273
TXN,2023-10-20,137.03726196289062,137.38108825683594,-0.2502719248391183
HON,2023-10-25,159.0995635986328,160.82376098632812,-1.0721036351350355
GS,2023-10-25,280.1594543457031,282.04296875,-0.6678111539686671
CVX,2023-10-27,129.61709594726562,133.9597625732422,-3.241769425802188
JNJ,2023-10-27,135.13375854492188,138.13919067382812,-2.1756549421247384
MRK,2023-11-28,92.62329864501953,92.85443878173828,-0.24892739620349102
XOM,2024-01-17,89.86199951171875,90.14616394042969,-0.31522631278988467
DD,2024-01-31,24.729642868041992,25.137039184570312,-1.6207012828240663
SBUX,2024-04-04,83.14848327636719,83.9444580078125,-0.9482159398434997
BA,2024-04-10,174.6300048828125,177.72999572753906,-1.7442136494949745
UNH,2024-04-11,422.8436279296875,423.8314514160156,-0.2330698873403092
PFE,2024-04-16,22.53875160217285,22.584911346435547,-0.20438311027499712
BMY,2024-04-25,40.99667739868164,43.44801330566406,-5.6419976898295925
CSCO,2024-05-23,44.46306228637695,44.64434814453125,-0.4060667602703072
SLB,2024-06-03,41.659610748291016,41.67424774169922,-0.03512239380761839
CMCSA,2024-06-12,33.24467086791992,33.27981948852539,-0.10561541842973865
NKE,2024-06-28,72.4598388671875,85.04154205322266,-14.794773098259418
UPS,2024-07-23,114.9295654296875,117.3243179321289,-2.041139078964649
INTC,2024-08-01,28.866878509521484,29.66183853149414,-2.680076695612066
CSCO,2024-08-05,43.05406951904297,43.43258285522461,-0.8714962622493605
COP,2024-08-05,98.88178253173828,99.76255798339844,-0.8828717601715108
BA,2024-08-07,163.24000549316406,164.3300018310547,-0.6632972225067202
SLB,2024-08-07,40.77410125732422,40.90728759765625,-0.3255809616173666
NUE,2024-09-06,135.42848205566406,135.81512451171875,-0.2846829154298791
MRK,2024-11-15,91.40635681152344,92.62329864501953,-1.3138614703845142
PEP,2024-11-15,149.89793395996094,150.78370666503906,-0.5874459015958844
TGT,2024-11-20,115.40324401855469,119.38006591796875,-3.3312277630561105
AMD,2024-12-10,127.73999786376953,128.6699981689453,-0.7227794500740403
NUE,2024-12-12,128.68869018554688,134.4331817626953,-4.273120297999611
COP,2024-12-12,96.7827377319336,97.44452667236328,-0.6791442916592061
SLB,2024-12-17,37.51411819458008,37.89060974121094,-0.9936275747533752
ADBE,2024-12-19,437.3900146484375,439.0199890136719,-0.3712756607953893
FCX,2025-01-28,35.34823989868164,35.698219299316406,-0.9803833566607856
CMCSA,2025-01-30,29.929309844970703,32.427398681640625,-7.703636240437195
UPS,2025-01-30,106.03176879882812,111.00495910644531,-4.480151470393567
MRK,2025-02-04,86.809326171875,91.40635681152344,-5.02922422466453
NKE,2025-02-07,66.66118621826172,68.34510040283203,-2.4638403845267276
COP,2025-03-03,89.56232452392578,91.22955322265625,-1.8275094416624005
TGT,2025-03-04,112.00807189941406,115.27999877929688,-2.8382433332142076
MSFT,2025-03-10,377.2717590332031,383.4446105957031,-1.609841784687005
ADBE,2025-03-13,377.8399963378906,405.9200134277344,-6.917623216634727
FDX,2025-03-21,225.32215881347656,234.8634033203125,-4.062465404124005
UPS,2025-03-28,102.64463806152344,102.70040130615234,-0.054297007528403274
NUE,2025-04-03,108.51866912841797,112.64402770996094,-3.6622967638950676
QCOM,2025-04-03,136.22808837890625,146.16856384277344,-6.800693119321943
DD,2025-04-03,27.788663864135742,29.170578002929688,-4.737356039551754
CAT,2025-04-03,301.6099548339844,310.24395751953125,-2.782972069650491
PFE,2025-04-04,21.41551971435547,22.161497116088867,-3.366096603608204
GOOGL,2025-04-04,145.09689331054688,147.80648803710938,-1.8332041864645432
SLB,2025-04-04,33.748390197753906,35.49049377441406,-4.908648461566578
BA,2025-04-04,136.58999633789062,138.13999938964844,-1.1220523082425604
DIS,2025-04-04,82.6163330078125,84.29019165039062,-1.9858284929767045
TXN,2025-04-04,146.7557830810547,150.57810974121094,-2.5384344820940097
MRK,2025-04-04,78.61422729492188,79.41416931152344,-1.0073038898934739
XOM,2025-04-04,100.87403869628906,101.10086059570312,-0.22435209559799052
EOG,2025-04-04,106.5986099243164,111.62191009521484,-4.500281500839309
PEP,2025-04-08,134.89646911621094,135.9443817138672,-0.7708392097158345
INTC,2025-04-08,18.1299991607666,18.889999389648438,-4.023294089137508
HON,2025-04-08,168.72940063476562,172.0020751953125,-1.902694811577521
CMCSA,2025-04-08,29.828319549560547,29.87529945373535,-0.15725333313414414
USB,2025-04-08,35.279083251953125,35.59769821166992,-0.8950437127205779
CVX,2025-04-10,129.16722106933594,129.17721557617188,-0.007737050834666359
UNH,2025-04-17,441.65606689453125,446.95269775390625,-1.1850540081741134
LLY,2025-05-14,710.3008422851562,715.6115112304688,-0.7421161987991254
LMT,2025-07-22,402.57098388671875,408.91748046875,-1.552023790901802
UNH,2025-07-29,255.71263122558594,266.8259582519531,-4.165009693649568
CMCSA,2025-07-30,29.79009437561035,29.828319549560547,-0.12815061165843966
UPS,2025-07-30,82.94535064697266,86.03953552246094,-3.596236145045828
BMY,2025-07-31,42.22382354736328,42.4536018371582,-0.5412456890614314
ADBE,2025-08-04,338.8500061035156,340.0,-0.33823349896598964
LLY,2025-08-07,637.4537963867188,709.9166870117188,-10.207238673318276
CRM,2025-08-11,231.90121459960938,235.09642028808594,-1.3591043558048077
TGT,2025-09-22,84.6218490600586,84.87140655517578,-0.29404189849846496
UPS,2025-09-25,80.0525894165039,80.3955307006836,-0.4265675979632233
CMCSA,2025-10-01,28.661195755004883,28.79098129272461,-0.45078539143965646
SBUX,2025-10-10,77.39810180664062,77.55023193359375,-0.19616978977367028
ADBE,2025-10-15,330.6300048828125,333.6499938964844,-0.9051368406764682
BMY,2025-10-29,42.10244369506836,42.22382354736328,-0.28746769500580527
CRM,2025-11-19,227.5127716064453,230.88462829589844,-1.4604076132482047
EOG,2025-12-16,100.81892395019531,100.87093353271484,-0.05156052462096383
