ticker,company_name,file_date,cik,accession_no,year
MIRM,"Mirum Pharmaceuticals, Inc.",2020-01-09,1759425,1759425-0001193125-20-004784,2020
ADPT,Adaptive Biotechnologies Corp,2020-01-24,1478320,1478320-0001193125-20-014285,2020
CLVT,Clarivate Analytics PLC,2020-02-07,1764046,1764046-0001104659-20-012545,2020
DT,"Dynatrace, Inc.",2020-02-21,1773383,1773383-0001628280-20-001954,2020
IMVT,"Immunovant, Inc.",2020-04-14,1764013,1764013-0001193125-20-107237,2020
PLSE,"Pulse Biosciences, Inc.",2020-05-14,1625101,1625101-0001140361-20-011662,2020
FSLY,"Fastly, Inc.",2020-05-21,1517413,1517413-0001628280-20-008240,2020
INVH,Invitation Homes Inc.,2020-06-03,1687229,1687229-0001193125-20-159650,2020
DT,"Dynatrace, Inc.",2020-06-03,1773383,1773383-0001628280-20-008905,2020
CLVT,CLARIVATE Plc,2020-06-05,1764046,1764046-0001104659-20-070342,2020
GLOB,Globant S.A.,2020-06-05,1557860,1557860-0001104659-20-070231,2020
BILL,"Bill.com Holdings, Inc.",2020-06-11,1786352,1786352-0001193125-20-166630,2020
SITM,SITIME Corp,2020-06-12,1451809,1451809-0001193125-20-167752,2020
BWIN,"BRP Group, Inc.",2020-06-25,1781755,1781755-0001193125-20-179135,2020
AHCO,AdaptHealth Corp.,2020-07-02,1725255,1725255-0001104659-20-080052,2020
MARA,"Marathon Patent Group, Inc.",2020-07-27,1507605,1507605-0001493152-20-014055,2020
IRTC,"iRhythm Technologies, Inc.",2020-08-19,1388658,1388658-0001388658-20-000231,2020
GTM,ZoomInfo Technologies Inc.,2020-08-21,1794515,1794515-0001628280-20-012984,2020
IMVT,"Immunovant, Inc.",2020-09-03,1764013,1764013-0001193125-20-238296,2020
TXG,"10x Genomics, Inc.",2020-09-11,1770787,1770787-0001193125-20-244106,2020
ADT,ADT Inc.,2020-09-16,1703056,1703056-0001193125-20-246506,2020
ADT,ADT Inc.,2020-09-17,1703056,1703056-0001193125-20-248080,2020
BEAM,Beam Therapeutics Inc.,2020-10-01,1745999,1745999-0001193125-20-261322,2020
ARQT,"Arcutis Biotherapeutics, Inc.",2020-10-05,1787306,1787306-0001628280-20-014284,2020
RPRX,Royalty Pharma plc,2020-10-19,1802768,1802768-0001193125-20-272071,2020
ORIC,"Oric Pharmaceuticals, Inc.",2020-11-13,1796280,1796280-0001193125-20-293217,2020
BSY,BENTLEY SYSTEMS INC,2020-11-16,1031308,1031308-0001104659-20-125319,2020
BEKE,KE Holdings Inc.,2020-11-19,1809587,1809587-0001047469-20-005554,2020
GTM,ZoomInfo Technologies Inc.,2020-12-02,1794515,1794515-0001628280-20-016991,2020
ARRY,"Array Technologies, Inc.",2020-12-04,1820721,1820721-0001193125-20-310720,2020
VNT,Vontier Corp,2021-01-12,1786842,1786842-0001193125-21-007209,2021
VNT,Vontier Corp,2021-01-14,1786842,1786842-0001193125-21-008527,2021
LMND,"Lemonade, Inc.",2021-01-14,1691421,1691421-0001104659-21-004294,2021
SMMT,Summit Therapeutics Inc.,2021-01-20,1599298,1599298-0000921895-21-000106,2021
DYN,"Dyne Therapeutics, Inc.",2021-01-21,1818794,1818794-0001193125-21-013622,2021
ASO,"Academy Sports & Outdoors, Inc.",2021-01-29,1817358,1817358-0001193125-21-021505,2021
OPCH,"Option Care Health, Inc.",2021-02-08,1014739,1014739-0001104659-21-013705,2021
ALGM,"ALLEGRO MICROSYSTEMS, INC.",2021-02-08,866291,866291-0001193125-21-032354,2021
OPCH,"Option Care Health, Inc.",2021-02-10,1014739,1014739-0001104659-21-017048,2021
BEPC,Brookfield Renewable Corp,2021-02-12,1791863,1791863-0001193125-21-038904,2021
GTES,Gates Industrial Corp plc,2021-03-01,1718512,1718512-0001104659-21-029999,2021
NRIX,"Nurix Therapeutics, Inc.",2021-03-05,1549595,1549595-0001193125-21-071458,2021
OPCH,"Option Care Health, Inc.",2021-03-17,1014739,1014739-0001104659-21-037440,2021
SHC,Sotera Health Co,2021-03-18,1822479,1822479-0001193125-21-085891,2021
STEP,StepStone Group Inc.,2021-03-19,1796022,1796022-0001193125-21-087706,2021
ARRY,"Array Technologies, Inc.",2021-03-22,1820721,1820721-0001193125-21-089722,2021
QS,QuantumScape Corp,2021-03-26,1811414,1811414-0001193125-21-096510,2021
GSAT,"Globalstar, Inc.",2021-03-30,1366868,1366868-0001366868-21-000026,2021
NTST,NETSTREIT Corp.,2021-04-08,1798100,1798100-0001104659-21-048108,2021
MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2021-04-09,1823239,1823239-0001193125-21-111541,2021
UPST,"Upstart Holdings, Inc.",2021-04-12,1647639,1647639-0001193125-21-112982,2021
SMMT,Summit Therapeutics Inc.,2021-04-21,1599298,1599298-0001193805-21-000518,2021
RCAT,"Red Cat Holdings, Inc.",2021-04-30,748268,748268-0001554795-21-000154,2021
RLAY,"Relay Therapeutics, Inc.",2021-05-06,1812364,1812364-0001193125-21-153334,2021
ASO,"Academy Sports & Outdoors, Inc.",2021-05-07,1817358,1817358-0001140361-21-016477,2021
PRAX,"Praxis Precision Medicines, Inc.",2021-05-14,1689548,1689548-0001193125-21-162079,2021
GLOB,Globant S.A.,2021-05-26,1557860,1557860-0001104659-21-072486,2021
ZIM,ZIM Integrated Shipping Services Ltd.,2021-06-04,1654126,1654126-0001104659-21-077128,2021
CLVT,CLARIVATE Plc,2021-06-08,1764046,1764046-0001104659-21-078319,2021
OPCH,"Option Care Health, Inc.",2021-06-10,1014739,1014739-0001104659-21-079116,2021
GENI,Genius Sports Ltd,2021-06-11,1834489,1834489-0001193125-21-188932,2021
PECO,"Phillips Edison & Company, Inc.",2021-07-16,1476204,1476204-0001476204-21-000152,2021
SHLS,"Shoals Technologies Group, Inc.",2021-07-16,1831651,1831651-0001193125-21-217466,2021
OPCH,"Option Care Health, Inc.",2021-08-05,1014739,1014739-0001104659-21-100449,2021
DRVN,Driven Brands Holdings Inc.,2021-08-06,1804745,1804745-0001193125-21-238142,2021
GTES,Gates Industrial Corp plc,2021-08-13,1718512,1718512-0001104659-21-105109,2021
VRRM,VERRA MOBILITY Corp,2021-08-19,1682745,1682745-0001193125-21-251628,2021
GENI,Genius Sports Ltd,2021-09-08,1834489,1834489-0001193125-21-267381,2021
OPCH,"Option Care Health, Inc.",2021-09-09,1014739,1014739-0001104659-21-114035,2021
MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2021-09-13,1823239,1823239-0001193125-21-271450,2021
GLBE,Global-E Online Ltd.,2021-09-13,1835963,1835963-0001193125-21-271407,2021
CLVT,CLARIVATE Plc,2021-09-13,1764046,1764046-0001104659-21-115116,2021
ASO,"Academy Sports & Outdoors, Inc.",2021-09-16,1817358,1817358-0001140361-21-031477,2021
FIGS,"FIGS, Inc.",2021-09-17,1846576,1846576-0001193125-21-275396,2021
INVH,Invitation Homes Inc.,2021-09-27,1687229,1687229-0001193125-21-284183,2021
EQT,EQT Corp,2021-09-30,33213,33213-0001104659-21-120936,2021
GENI,Genius Sports Ltd,2021-09-30,1834489,1834489-0001193125-21-288071,2021
FA,FIRST ADVANTAGE CORP,2021-11-12,1210677,1210677-0001193125-21-328075,2021
ALHC,"Alignment Healthcare, Inc.",2021-11-19,1832466,1832466-0001193125-21-335384,2021
DV,"DoubleVerify Holdings, Inc.",2021-11-19,1819928,1819928-0001104659-21-141864,2021
EQT,EQT Corp,2021-11-22,33213,33213-0001104659-21-142496,2021
PRVA,"Privia Health Group, Inc.",2021-11-22,1759655,1759655-0001628280-21-023918,2021
APP,AppLovin Corp,2021-12-06,1751008,1751008-0001193125-21-348998,2021
VRRM,VERRA MOBILITY Corp,2021-12-09,1682745,1682745-0001193125-21-352656,2021
CNM,"Core & Main, Inc.",2022-01-07,1856525,1856525-0001193125-22-004575,2022
PWP,Perella Weinberg Partners,2022-01-20,1777835,1777835-0001628280-22-001109,2022
VERA,"Vera Therapeutics, Inc.",2022-02-11,1831828,1831828-0001193125-22-037414,2022
RYZ,Ryerson Holding Corp,2022-05-12,1481582,1481582-0001193125-22-148631,2022
CDRE,"Cadre Holdings, Inc.",2022-06-13,1860543,1860543-0001104659-22-070536,2022
ACLX,"Arcellx, Inc.",2022-06-16,1786205,1786205-0001193125-22-175611,2022
SMMT,Summit Therapeutics Inc.,2022-07-18,1599298,1599298-0001599298-22-000077,2022
OPCH,"Option Care Health, Inc.",2022-08-18,1014739,1014739-0001104659-22-092377,2022
CRGY,Crescent Energy Co,2022-09-09,1866175,1866175-0001193125-22-241990,2022
AMLX,"Amylyx Pharmaceuticals, Inc.",2022-10-07,1658551,1658551-0001193125-22-259634,2022
DV,"DoubleVerify Holdings, Inc.",2022-11-14,1819928,1819928-0001104659-22-118606,2022
ESAB,ESAB Corp,2022-11-17,1877322,1877322-0001193125-22-287718,2022
SMMT,Summit Therapeutics Inc.,2023-02-07,1599298,1599298-0001387131-23-001487,2023
ENLT,Enlight Renewable Energy Ltd.,2023-02-13,1922641,1922641-0001104659-23-018716,2023
RYZ,Ryerson Holding Corp,2023-02-27,1481582,1481582-0001193125-23-050761,2023
OPCH,"Option Care Health, Inc.",2023-03-03,1014739,1014739-0001104659-23-028193,2023
DV,"DoubleVerify Holdings, Inc.",2023-03-07,1819928,1819928-0001104659-23-029587,2023
RYZ,Ryerson Holding Corp,2023-05-05,1481582,1481582-0001193125-23-137095,2023
RYAN,"RYAN SPECIALTY HOLDINGS, INC.",2023-05-24,1849253,1849253-0001193125-23-152943,2023
GEHC,GE HealthCare Technologies Inc.,2023-06-08,1932393,1932393-0001193125-23-163595,2023
SKWD,"Skyward Specialty Insurance Group, Inc.",2023-06-08,1519449,1519449-0001104659-23-069476,2023
MBLY,Mobileye Global Inc.,2023-06-08,1910139,1910139-0001104659-23-069416,2023
ATAT,Atour Lifestyle Holdings Ltd,2023-06-08,1853717,1853717-0001104659-23-069115,2023
MSGE,Madison Square Garden Entertainment Corp.,2023-06-26,1952073,1952073-0001193125-23-173992,2023
NXT,Nextracker Inc.,2023-06-30,1852131,1852131-0001193125-23-179163,2023
EOSE,"Eos Energy Enterprises, Inc.",2023-06-30,1805077,1805077-0001213900-23-053032,2023
RYZ,Ryerson Holding Corp,2023-08-07,1481582,1481582-0001193125-23-204983,2023
DV,"DoubleVerify Holdings, Inc.",2023-08-08,1819928,1819928-0001104659-23-088852,2023
GENI,Genius Sports Ltd,2023-09-14,1834489,1834489-0001193125-23-234954,2023
GENI,Genius Sports Ltd,2023-09-18,1834489,1834489-0001193125-23-236926,2023
MSGE,Madison Square Garden Entertainment Corp.,2023-09-21,1952073,1952073-0001193125-23-239171,2023
KNF,Knife River Corp,2023-11-06,1955520,1955520-0001628280-23-037041,2023
KNF,Knife River Corp,2023-11-08,1955520,1955520-0001628280-23-037516,2023
DV,"DoubleVerify Holdings, Inc.",2023-11-14,1819928,1819928-0001104659-23-118106,2023
SKWD,"Skyward Specialty Insurance Group, Inc.",2023-11-16,1519449,1519449-0001104659-23-119096,2023
SN,"SharkNinja, Inc.",2023-12-06,1957132,1957132-0001104659-23-123973,2023
GEHC,GE HealthCare Technologies Inc.,2024-02-16,1932393,1932393-0001193125-24-038560,2024
APGE,"Apogee Therapeutics, Inc.",2024-03-11,1974640,1974640-0001104659-24-032615,2024
SN,"SharkNinja, Inc.",2024-03-21,1957132,1957132-0001104659-24-037370,2024
GPGI,"CompoSecure, Inc.",2024-05-08,1823144,1823144-0001104659-24-058795,2024
KVUE,Kenvue Inc.,2024-05-15,1944048,1944048-0001628280-24-023559,2024
FIHL,Fidelis Insurance Holdings Ltd,2024-05-23,1636639,1636639-0001193125-24-146011,2024
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,2024-06-12,946581,946581-0001193125-24-160021,2024
BIRK,Birkenstock Holding plc,2024-06-27,1977102,1977102-0000950170-24-078464,2024
NNE,Nano Nuclear Energy Inc.,2024-07-15,1923891,1923891-0001493152-24-027189,2024
ULS,UL Solutions Inc.,2024-09-06,1901440,1901440-0001628280-24-039710,2024
PACS,"PACS Group, Inc.",2024-09-06,2001184,2001184-0001628280-24-039734,2024
LQDA,Liquidia Corp,2024-09-11,1819576,1819576-0001104659-24-098952,2024
VIK,Viking Holdings Ltd,2024-09-12,1745201,1745201-0001193125-24-217990,2024
MRX,Marex Group plc,2024-10-24,1997464,1997464-0001193125-24-242729,2024
NNE,Nano Nuclear Energy Inc.,2024-10-24,1923891,1923891-0001493152-24-042420,2024
MRX,Marex Group plc,2024-10-31,1997464,1997464-0001193125-24-248531,2024
OS,"OneStream, Inc.",2024-11-15,1889956,1889956-0000950170-24-127702,2024
SEI,"Solaris Energy Infrastructure, Inc.",2024-11-25,1697500,1697500-0001193125-24-265250,2024
AS,"Amer Sports, Inc.",2024-12-05,1988894,1988894-0001104659-24-125912,2024
SEI,"Solaris Energy Infrastructure, Inc.",2024-12-09,1697500,1697500-0001193125-24-273426,2024
ORA,"ORMAT TECHNOLOGIES, INC.",2024-12-12,1296445,1296445-0001213900-24-108059,2024
CGON,"CG Oncology, Inc.",2024-12-13,1991792,1991792-0001193125-24-278472,2024
