ticker,company_name,date_str,phrase,cik
EMMA,"MYnd Analytics, Inc.  (EMMA)  (CIK 0000822370)",2019-01-07,proposed spin-off,
VFC,V F CORP  (VFC)  (CIK 0000103379),2019-01-18,proposed spin-off,
MSGS,Madison Square Garden Co  (MSGS)  (CIK 0001636519),2019-02-01,proposed spin-off,
ECL,ECOLAB INC.  (ECL)  (CIK 0000031462),2019-02-04,plans to spin off,
KAR,"KAR Auction Services, Inc.  (KAR)  (CIK 0001395942)",2019-04-01,proposed spin-off,
ENSG,"ENSIGN GROUP, INC  (ENSG)  (CIK 0001125376)",2019-05-06,proposed spin-off,
TT,Ingersoll-Rand plc  (TT)  (CIK 0001466258),2019-05-06,plan to spin off,
LGMK,"Nxt-ID, Inc.  (LGMK)  (CIK 0001566826)",2019-05-09,proposed spin-off,
ACM,AECOM  (ACM)  (CIK 0000868857),2019-06-17,proposed spin-off,
EMMA,"MYnd Analytics, Inc.  (EMMA)  (CIK 0000822370)",2019-07-09,proposed spin-off,
THC,TENET HEALTHCARE CORP  (THC)  (CIK 0000070318),2019-07-24,proposed spin-off,
MSGS,Madison Square Garden Co  (MSGS)  (CIK 0001636519),2019-08-20,proposed spin-off,
CRNC,Cerence Inc.  (CRNC)  (CIK 0001768267),2019-09-09,proposed spin-off,
SONN,"Chanticleer Holdings, Inc.  (SONN)  (CIK 0001106838)",2019-10-11,will spin off,
ECL,ECOLAB INC.  (ECL)  (CIK 0000031462),2019-10-29,proposed spin-off,
MPC,Marathon Petroleum Corp  (MPC)  (CIK 0001510295),2019-10-31,proposed spin-off,
SWBI,AMERICAN OUTDOOR BRANDS CORP  (SWBI)  (CIK 0001092796),2019-11-13,plan to spin off,
BXRXQ,"Baudax Bio, Inc.  (BXRXQ)  (CIK 0001780097)",2019-11-26,plans to spin off,
SNX,SYNNEX CORP  (SNX)  (CIK 0001177394),2020-01-09,proposed spin-off,
ENVB,"AMERI Holdings, Inc.  (ENVB)  (CIK 0000890821)",2020-01-13,will spin off,
MRK,"Merck & Co., Inc.  (MRK)  (CIK 0000310158)",2020-02-05,plans to spin off,
SPWRQ,SUNPOWER CORP  (SPWRQ)  (CIK 0000867773),2020-02-12,proposed spin-off,
TT,Ingersoll-Rand plc  (TT)  (CIK 0001466258),2020-02-14,proposed spin-off,
NKLA,VectoIQ Acquisition Corp.  (NKLA)  (CIK 0001731289),2020-03-03,plan to spin off,
IR,Ingersoll Rand Inc.  (IR)  (CIK 0001699150),2020-03-04,plan to spin off,
SPHR,"MSG ENTERTAINMENT SPINCO, INC.  (SPHR)  (CIK 0001795250)",2020-04-07,proposed spin-off,
WH,"WYNDHAM HOTELS & RESORTS, INC.  (WH)  (CIK 0001722684)",2020-05-04,will spin off,
PNTG,"Pennant Group, Inc.  (PNTG)  (CIK 0001766400)",2020-05-13,proposed spin-off,
SWBI,"SMITH & WESSON BRANDS, INC.  (SWBI)  (CIK 0001092796)",2020-06-01,proposed spin-off,
TNL,"Wyndham Destinations, Inc.  (TNL)  (CIK 0001361658)",2020-07-20,will spin off,
AOUT,"American Outdoor Brands, Inc.  (AOUT)  (CIK 0001808997)",2020-08-04,plan to spin off,
BHC,Bausch Health Companies Inc.  (BHC)  (CIK 0000885590),2020-08-06,plan to spin off,
SNX,SYNNEX CORP  (SNX)  (CIK 0001177394),2020-09-09,proposed spin-off,
AIV,APARTMENT INVESTMENT & MANAGEMENT CO  (AIV)  (CIK 0000922864),2020-09-23,proposed spin-off,
GORO,GOLD RESOURCE CORP  (GORO)  (CIK 0001160791),2020-10-05,proposed spin-off,
PFE,PFIZER INC  (PFE)  (CIK 0000078003),2020-10-30,proposed spin-off,
XPO,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)",2020-12-02,plan to spin off,
IBM,INTERNATIONAL BUSINESS MACHINES CORP  (IBM)  (CIK 0000051143),2020-12-16,announced the spin-off,
MCVT,"Mill City Ventures III, Ltd  (MCVT)  (CIK 0001425355)",2020-12-17,will spin off,
VRNT,VERINT SYSTEMS INC  (VRNT)  (CIK 0001166388),2020-12-22,proposed spin-off,
ENVB,"AMERI Holdings, Inc.  (ENVB)  (CIK 0000890821)",2020-12-23,proposed spin-off,
PTPI,"Petros Pharmaceuticals, Inc.  (PTPI)  (CIK 0001815903)",2020-12-31,proposed spin-off,
FTI,TechnipFMC plc  (FTI)  (CIK 0001681459),2021-01-12,intends to spin off,
IAC,IAC/InterActiveCorp  (IAC)  (CIK 0001800227),2021-01-26,proposed spin-off,
ZBH,"ZIMMER BIOMET HOLDINGS, INC.  (ZBH)  (CIK 0001136869)",2021-02-05,plan to spin off,
BLUE,"bluebird bio, Inc.  (BLUE)  (CIK 0001293971)",2021-02-16,plans to spin off,
BHC,Bausch Health Companies Inc.  (BHC)  (CIK 0000885590),2021-03-11,intends to spin-off,
VANI,SECOND SIGHT MEDICAL PRODUCTS INC  (VANI)  (CIK 0001266806),2021-03-26,proposed spin-off,
COMM,"CommScope Holding Company, Inc.  (COMM)  (CIK 0001517228)",2021-04-08,proposed spin-off,
IR,Ingersoll Rand Inc.  (IR)  (CIK 0001699150),2021-04-12,plan to spin off,
ZD,"J2 GLOBAL, INC.  (ZD)  (CIK 0001084048)",2021-04-20,proposed spin-off,
VMEO,"Vimeo Holdings, Inc.  (VMEO)  (CIK 0001837686)",2021-05-05,proposed spin-off,
BDX,BECTON DICKINSON & CO  (BDX)  (CIK 0000010795),2021-05-06,plan to spin off,
AMPH,"Amphastar Pharmaceuticals, Inc.  (AMPH)  (CIK 0001297184)",2021-05-07,will spin off,
BBWI,"L Brands, Inc.  (BBWI)  (CIK 0000701985)",2021-05-11,plan to spin off,
BFH,ALLIANCE DATA SYSTEMS CORP  (BFH)  (CIK 0001101215),2021-05-12,plan to spin off,
XPO,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)",2021-06-09,proposed spin-off,
GXO,"GXO Logistics, Inc.  (GXO)  (CIK 0001852244)",2021-07-26,proposed spin-off,
VSCO,Victoria's Secret & Co.  (VSCO)  (CIK 0001856437),2021-07-30,proposed spin-off,
SLVM,Sylvamo Corp  (SLVM)  (CIK 0001856485),2021-09-03,will spin off,
GNE,Genie Energy Ltd.  (GNE)  (CIK 0001528356),2021-09-23,plans to spin off,
CCSI,"Consensus Cloud Solutions, Inc.  (CCSI)  (CIK 0001866633)",2021-09-28,proposed spin-off,
DELL,Dell Technologies Inc.  (DELL)  (CIK 0001571996),2021-10-19,proposed spin-off,
COMM,"CommScope Holding Company, Inc.  (COMM)  (CIK 0001517228)",2021-11-04,plan to spin off,
ZBH,"ZIMMER BIOMET HOLDINGS, INC.  (ZBH)  (CIK 0001136869)",2021-11-04,proposed spin-off,
VGR,VECTOR GROUP LTD  (VGR)  (CIK 0000059440),2021-11-08,plan to spin off,
GTLL,GLOBAL TECHNOLOGIES LTD  (GTLL)  (CIK 0000932021),2021-12-23,will spin off,
AXTI,AXT INC  (AXTI)  (CIK 0001051627),2022-01-10,will spin off,
QTRX,Quanterix Corp  (QTRX)  (CIK 0001503274),2022-01-31,proposed spin-off,
EHC,Encompass Health Corp  (EHC)  (CIK 0000785161),2022-02-01,plans to spin off,
REZI,"RESIDEO TECHNOLOGIES, INC.  (REZI)  (CIK 0001740332)",2022-02-07,will spin off,
EMBC,Embecta Corp.  (EMBC)  (CIK 0001872789),2022-02-11,plan to spin off,
XPO,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)",2022-03-08,proposed spin-off,
BBIG,"Vinco Ventures, Inc.  (BBIG)  (CIK 0001717556)",2022-03-18,plans to spin off,
BDX,BECTON DICKINSON & CO  (BDX)  (CIK 0000010795),2022-03-21,proposed spin-off,
CXT,CRANE CO /DE/  (CXT)  (CIK 0000025445),2022-03-30,proposed spin-off,
WH,"WYNDHAM HOTELS & RESORTS, INC.  (WH)  (CIK 0001722684)",2022-04-08,will spin off,
OCLN,"ORIGINCLEAR, INC.  (OCLN)  (CIK 0001419793)",2022-04-14,plan to spin off,
VSTO,Vista Outdoor Inc.  (VSTO)  (CIK 0001616318),2022-05-05,proposed spin-off,
ARMK,Aramark  (ARMK)  (CIK 0001584509),2022-05-10,proposed spin-off,
ENVB,"Enveric Biosciences, Inc.  (ENVB)  (CIK 0000890821)",2022-05-11,plans to spin off,
ROII,"Ecoark Holdings, Inc.  (ROII)  (CIK 0001437491)",2022-06-09,intends to spin-off,
OCTO,"Cryptyde, Inc.  (OCTO)  (CIK 0001892492)",2022-06-28,plan to spin off,
FIP,FTAI Infrastructure LLC  (FIP)  (CIK 0001899883),2022-07-15,proposed spin-off,
MMM,3M CO  (MMM)  (CIK 0000066740),2022-07-26,proposed spin-off,
LH,LABORATORY CORP OF AMERICA HOLDINGS  (LH)  (CIK 0000920148),2022-07-28,plans to spin off,
AXTI,AXT INC  (AXTI)  (CIK 0001051627),2022-08-02,will spin off,
BLCO,Bausch & Lomb Corp  (BLCO)  (CIK 0001860742),2022-08-04,plan to spin off,
PKST,"Griffin Realty Trust, Inc.  (PKST)  (CIK 0001600626)",2022-08-05,will spin off,
SAFE,ISTAR INC.  (SAFE)  (CIK 0001095651),2022-08-11,will spin off,
SPHR,Madison Square Garden Entertainment Corp.  (SPHR)  (CIK 0001795250),2022-08-19,proposed spin-off,
XPO,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)",2022-09-28,intends to spin off,
RXO,"RXO, Inc.  (RXO)  (CIK 0001929561)",2022-10-17,intends to spin off,
IDEX,"IDEANOMICS, INC.  (IDEX)  (CIK 0000837852)",2022-10-26,announced the spin-off,
AREC,American Resources Corp  (AREC)  (CIK 0001590715),2022-10-27,plan to spin off,
ARMK,Aramark  (ARMK)  (CIK 0001584509),2022-11-15,proposed spin-off,
FBIN,"Fortune Brands Home & Security, Inc.  (FBIN)  (CIK 0001519751)",2022-11-22,intends to spin off,
GE,GENERAL ELECTRIC CO  (GE)  (CIK 0000040545),2022-11-23,proposed spin-off,
GEHC,GE Healthcare Holding LLC  (GEHC)  (CIK 0001932393),2022-12-08,will spin off,
TNL,Travel & Leisure Co.  (TNL)  (CIK 0001361658),2022-12-14,will spin off,
SWX,"Southwest Gas Holdings, Inc.  (SWX)  (CIK 0001692115)",2022-12-15,will spin off,
CXT,"Crane Holdings, Co.  (CXT)  (CIK 0000025445)",2022-12-15,plan to spin off,
JEF,Jefferies Financial Group Inc.  (JEF)  (CIK 0000096223),2022-12-19,proposed spin-off,
SGBX,SAFE & GREEN HOLDINGS CORP.  (SGBX)  (CIK 0001023994),2022-12-28,plans to spin off,
BAX,BAXTER INTERNATIONAL INC  (BAX)  (CIK 0000010456),2023-01-06,plan to spin off,
MMM,3M CO  (MMM)  (CIK 0000066740),2023-01-24,proposed spin-off,
VSTO,Vista Outdoor Inc.  (VSTO)  (CIK 0001616318),2023-02-02,plans to spin off,
CR,Crane Co  (CR)  (CIK 0001944013),2023-02-07,plan to spin off,
FIS,"Fidelity National Information Services, Inc.  (FIS)  (CIK 0001136893)",2023-02-13,plans to spin off,
BWA,BORGWARNER INC  (BWA)  (CIK 0000908255),2023-02-14,intends to spin-off,
LH,LABORATORY CORP OF AMERICA HOLDINGS  (LH)  (CIK 0000920148),2023-02-16,announced the spin-off,
SPHR,Madison Square Garden Entertainment Corp.  (SPHR)  (CIK 0001795250),2023-02-16,proposed spin-off,
BLCO,Bausch & Lomb Corp  (BLCO)  (CIK 0001860742),2023-02-22,plan to spin off,
STHO,Star Holdings  (STHO)  (CIK 0001953366),2023-03-22,plan to spin off,
DGLY,"DIGITAL ALLY, INC.  (DGLY)  (CIK 0001342958)",2023-04-03,proposed spin-off,
MSGE,"MSGE Spinco, Inc.  (MSGE)  (CIK 0001952073)",2023-04-04,proposed spin-off,
MDU,MDU RESOURCES GROUP INC  (MDU)  (CIK 0000067716),2023-04-10,intends to spin off,
IEP,ICAHN ENTERPRISES L.P.  (IEP)  (CIK 0000813762),2023-05-10,proposed spin-off,
WH,"WYNDHAM HOTELS & RESORTS, INC.  (WH)  (CIK 0001722684)",2023-05-25,will spin off,
PHIN,PHINIA INC.  (PHIN)  (CIK 0001968915),2023-06-13,proposed spin-off,
SGBX,SAFE & GREEN HOLDINGS CORP.  (SGBX)  (CIK 0001023994),2023-07-24,plans to spin off,
MMM,3M CO  (MMM)  (CIK 0000066740),2023-07-25,proposed spin-off,
BAX,BAXTER INTERNATIONAL INC  (BAX)  (CIK 0000010456),2023-07-27,proposed spin-off,
ARMK,Aramark  (ARMK)  (CIK 0001584509),2023-08-08,proposed spin-off,
ROII,"BitNile Metaverse, Inc.  (ROII)  (CIK 0001437491)",2023-09-01,intends to spin-off,
MACT,"MachTen, Inc.  (MACT)  (CIK 0001957783)",2023-09-05,plans to spin off,
FIS,"Fidelity National Information Services, Inc.  (FIS)  (CIK 0001136893)",2023-09-05,plan to spin off,
VSTS,Vestis Corp  (VSTS)  (CIK 0001967649),2023-09-11,proposed spin-off,
KLG,WK Kellogg Co  (KLG)  (CIK 0001959348),2023-09-12,proposed spin-off,
SGD,Safe & Green Development Corp  (SGD)  (CIK 0001959023),2023-09-19,plan to spin off,
WPC,W. P. Carey Inc.  (WPC)  (CIK 0001025378),2023-09-21,proposed spin-off,
PODD,INSULET CORP  (PODD)  (CIK 0001145197),2023-10-03,plans to spin off,
NLOP,Net Lease Office Properties  (NLOP)  (CIK 0001952976),2023-10-10,intends to spin off,
XTIA,INPIXON  (XTIA)  (CIK 0001529113),2023-10-23,will spin off,
FLEX,FLEX LTD.  (FLEX)  (CIK 0000866374),2023-10-25,plan to spin off,
WDC,WESTERN DIGITAL CORP  (WDC)  (CIK 0000106040),2023-10-30,plan to spin off,
BLCO,Bausch & Lomb Corp  (BLCO)  (CIK 0001860742),2023-11-01,plan to spin off,
MDU,MDU RESOURCES GROUP INC  (MDU)  (CIK 0000067716),2023-11-02,plans to spin off,
MMATQ,META MATERIALS INC.  (MMATQ)  (CIK 0001431959),2023-11-08,plans to spin off,
J,JACOBS SOLUTIONS INC.  (J)  (CIK 0000052988),2023-11-21,plans to spin off,
TNL,Travel & Leisure Co.  (TNL)  (CIK 0001361658),2023-12-21,will spin off,
MMM,3M CO  (MMM)  (CIK 0000066740),2024-01-23,proposed spin-off,
AFCG,"AFC Gamma, Inc.  (AFCG)  (CIK 0001822523)",2024-02-22,plans to spin off,
HHH,Howard Hughes Holdings Inc.  (HHH)  (CIK 0001981792),2024-02-27,intends to spin off,
EVRI,Everi Holdings Inc.  (EVRI)  (CIK 0001318568),2024-02-29,will spin off,
GE,GENERAL ELECTRIC CO  (GE)  (CIK 0000040545),2024-02-29,proposed spin-off,
ASPI,ASP Isotopes Inc.  (ASPI)  (CIK 0001921865),2024-02-29,proposed spin-off,
GEV,GE Vernova LLC  (GEV)  (CIK 0001996810),2024-03-08,proposed spin-off,
SOLV,Solventum Corp  (SOLV)  (CIK 0001964738),2024-03-13,plan to spin off,
CCEL,CRYO CELL INTERNATIONAL INC  (CCEL)  (CIK 0000862692),2024-03-26,plans to spin off,
ETHE,Grayscale Ethereum Trust (ETH)  (ETHE)  (CIK 0001725210),2024-04-25,proposed spin-off,
BLCO,Bausch & Lomb Corp  (BLCO)  (CIK 0001860742),2024-05-01,plan to spin off,
INBX,"Inhibrx Biosciences, Inc.  (INBX)  (CIK 0002007919)",2024-05-24,proposed spin-off,
WH,"WYNDHAM HOTELS & RESORTS, INC.  (WH)  (CIK 0001722684)",2024-05-28,will spin off,
SUNS,"Sunrise Realty Trust, Inc.  (SUNS)  (CIK 0002012706)",2024-07-03,plan to spin off,
IQST,iQSTEL Inc  (IQST)  (CIK 0001527702),2024-07-16,plan to spin off,
MDU,MDU RESOURCES GROUP INC  (MDU)  (CIK 0000067716),2024-09-03,plan to spin off,
MODG,Topgolf Callaway Brands Corp.  (MODG)  (CIK 0000837465),2024-09-04,intends to spin-off,
FTV,Fortive Corp  (FTV)  (CIK 0001659166),2024-09-04,proposed spin-off,
J,JACOBS SOLUTIONS INC.  (J)  (CIK 0000052988),2024-09-06,plans to spin off,
AMTM,Amazon Holdco Inc.  (AMTM)  (CIK 0002011286),2024-09-18,will spin off,
HON,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840),2024-10-08,plan to spin off,
TNL,Travel & Leisure Co.  (TNL)  (CIK 0001361658),2024-12-11,will spin off,
